hrank,hero,appearance,pickRatio,banRatio,winRate,totalKill_perGame,totalAssist_perGame,totalDie_perGame,killDieAssist,commonPlayers
63,战争女神,3,0%,0%,0%,7(2.3),15(5),8(2.6),2.75,rat
64,德邦总管,2,4%,2%,50%,9(4.5),10(5),7(3.5),2.71,SofM
65,腕豪,44,12%,10%,52%,75(1.7),329(7.4),150(3.4),2.69,Zoom
66,封魔剑魂,9,2%,5%,44%,29(3.2),33(3.6),23(2.5),2.69,Mole
67,镕铁少女,132,37%,24%,56%,92(0.6),1128(8.5),453(3.4),2.69,Meiko
68,死亡颂唱者,8,2%,1%,62%,35(4.3),71(8.8),41(5.1),2.58,SofM
69,暗裔剑魔,59,16%,12%,38%,138(2.3),243(4.1),150(2.5),2.54,Cube
70,山隐之焰,38,10%,13%,34%,35(0.9),216(5.6),101(2.6),2.48,Xiaohu
71,暗黑元首,64,18%,19%,31%,154(2.4),268(4.1),170(2.6),2.48,Rookie
72,诡术妖姬,11,3%,0%,27%,29(2.6),35(3.1),26(2.3),2.46,Scout
73,扭曲树精,9,2%,0%,55%,8(0.8),63(7),29(3.2),2.44,Hang
74,曙光女神,88,24%,13%,48%,60(0.6),659(7.4),301(3.4),2.38,Ming
75,刀锋舞者,17,4%,5%,52%,57(3.3),84(4.9),60(3.5),2.35,369
76,复仇之矛,19,6%,5%,31%,60(3.1),65(3.4),54(2.8),2.31,Viper
77,永猎双子,5,1%,1%,20%,12(2.4),20(4),15(3),2.13,Wei
78,齐天大圣,11,3%,2%,36%,24(2.1),65(5.9),42(3.8),2.11,Zoom
79,不灭狂雷,18,5%,1%,22%,24(1.3),99(5.5),59(3.2),2.08,Karsa
80,天启者,12,3%,0%,33%,4(0.3),67(5.5),35(2.9),2.02,Doinb
81,皮城女警,2,0%,0%,50%,2(1),10(5),6(3),2,LokeN
82,暗夜猎手,20,6%,3%,35%,63(3.1),70(3.5),68(3.4),1.95,y4
83,深海泰坦,39,11%,4%,25%,26(0.6),259(6.6),154(3.9),1.85,Meiko
84,熔岩巨兽,7,1%,2%,14%,13(1.8),28(4),23(3.2),1.78,369
85,祖安狂人,6,1%,0%,33%,8(1.3),26(4.3),19(3.1),1.78,Haro
86,虚空恐惧,6,1%,0%,50%,12(2),32(5.3),27(4.5),1.62,Zoom
87,武器大师,5,1%,0%,20%,10(2),12(2.4),15(3),1.46,369
88,巨魔之王,3,0%,0%,33%,1(0.3),15(5),11(3.6),1.45,Karsa
89,德玛西亚皇子,3,0%,0%,0%,3(1),17(5.6),14(4.6),1.42,SofM
90,无双剑姬,2,0%,0%,0%,5(2.5),2(1),5(2.5),1.4,Cult
91,狂暴之心,9,2%,1%,11%,15(1.6),44(4.8),43(4.7),1.37,TheShy
92,仙灵女巫,4,1%,0%,25%,5(1.2),18(4.5),18(4.5),1.27,Doinb
93,寒冰射手,2,0%,0%,0%,3(1.5),8(4),9(4.5),1.22,y4
94,瓦洛兰之盾,1,0%,0%,0%,0(0),6(6),5(5),1.2,Mark
95,虚空遁地兽,1,0%,0%,0%,4(4),2(2),6(6),1,Xiaopeng
96,风暴之怒,1,0%,0%,0%,0(0),4(4),4(4),1,Iwandy
