hrank,hero,appearance,pickRatio,banRatio,winRate,totalKill_perGame,totalDie_perGame,totalAssist_perGame,attendanceRate_perGame,commonPlayers
20,蜘蛛女皇,67,20,51,47,181(2.7),167(2.5),385(5.7),66.0,FPXTian
21,机械公敌,72,19,32,45,257(3.6),216(3.0),469(6.5),65.5,FPXDoinb
22,暮光星灵,70,19,41,41,262(3.7),129(1.8),412(5.9),71.5,RWWuming
23,河流之王,62,17,9,54,53(0.9),173(2.8),481(7.8),58.0,SNSwordArt
24,暗黑元首,61,16,14,59,229(3.8),158(2.6),354(5.8),69.5,TESknight
25,涤魂圣枪,61,16,43,54,180(3.0),141(2.3),479(7.9),68.0,LGDKramer
26,狂战士,60,16,44,45,209(3.5),172(2.9),320(5.3),68.5,RNGXLB
27,解脱者,59,16,14,44,185(3.1),181(3.1),308(5.2),66.5,TESknight
28,瓦洛兰之盾,50,13,9,50,22(0.4),133(2.7),473(9.5),87.5,OMGcold
29,齐天大圣,45,13,13,44,134(3.0),123(2.7),248(5.5),59.0,RWHolder
30,北地之怒,45,12,13,46,75(1.7),115(2.6),333(7.4),74.0,IGLeyan
31,英勇投弹手,41,11,3,63,190(4.6),75(1.8),239(5.8),80.5,OMGicon
32,酒桶,38,10,12,44,80(2.1),127(3.3),258(6.8),43.0,TESKarsa
33,虚空之女,36,10,2,36,142(3.9),77(2.1),164(4.6),67.0,WEJiumeng
34,扭曲树精,34,10,2,44,46(1.4),102(3.0),208(6.1),58.0,RNGLangx
35,幻翎,34,10,1,58,17(0.5),99(2.9),324(9.5),74.0,FPXCrisp
36,圣枪游侠,30,9,13,33,113(3.8),98(3.3),117(3.9),65.0,IGTheShy
37,元素女皇,30,8,10,40,99(3.3),105(3.5),160(5.3),51.5,VGForge
38,虚空行者,28,7,21,57,144(5.1),48(1.7),107(3.8),68.5,V5clx
39,不屈之枪,25,7,26,44,70(2.8),89(3.6),159(6.4),69.0,LGDFenfen
40,刀锋舞者,24,7,17,58,60(2.5),67(2.8),114(4.8),57.0,OMGCurse
41,冰霜女巫,24,6,3,50,51(2.1),71(3.0),165(6.9),67.5,FPXDoinb
42,正义巨像,23,6,6,60,76(3.3),51(2.2),193(8.4),67.0,WETeacherma
43,探险家,23,6,1,43,102(4.4),60(2.6),85(3.7),55.5,IGPuff
44,时间刺客,23,6,2,47,83(3.6),43(1.9),133(5.8),71.0,V5xiaohan
45,万花通灵,20,6,3,40,56(2.8),67(3.4),111(5.5),73.0,V5Mole
46,永猎双子,21,5,3,52,74(3.5),51(2.4),123(5.9),67.0,WEbeishang
47,未来守护者,18,4,2,38,43(2.4),67(3.7),101(5.6),55.5,IGTheShy
48,海洋之灾,17,4,6,41,46(2.7),42(2.5),69(4.1),70.0,OMGCurse
49,狂暴之心,17,4,2,52,39(2.3),62(3.6),81(4.8),46.5,RNGLangx
50,魔法猫咪,17,4,6,58,11(0.6),23(1.4),196(11.5),76.0,JDGLvMao
51,星界游神,17,4,3,29,16(0.9),48(2.8),165(9.7),81.0,LGDKillua
52,魔蛇之拥,16,4,3,43,56(3.5),45(2.8),94(5.9),61.0,OMGicon
53,蒸汽机器人,15,4,5,40,13(0.9),39(2.6),114(7.6),68.5,FPXCrisp
54,发条魔灵,13,3,1,46,44(3.4),35(2.7),83(6.4),72.0,IGRookie
55,牛头酋长,12,3,0,41,4(0.3),45(3.8),108(9.0),63.0,RWLey
56,符文法师,11,3,2,45,52(4.7),34(3.1),61(5.5),72.0,FPXDoinb
57,天启者,11,3,1,54,13(1.2),30(2.7),91(8.3),58.0,RNGMing
58,青钢影,11,3,1,27,44(4.0),42(3.8),42(3.8),69.0,DMONatural
59,狂野女猎手,10,3,2,50,24(2.4),26(2.6),49(4.9),68.0,RWHaro
60,皎月女神,10,3,2,50,25(2.5),30(3.0),55(5.5),61.0,WETeacherma
61,岩雀,10,3,2,40,33(3.3),30(3.0),69(6.9),69.0,V5Mole
62,猩红收割者,10,2,1,30,27(2.7),24(2.4),40(4.0),56.0,IGTheShy
63,堕落天使,10,2,3,40,6(0.6),30(3.0),65(6.5),60.5,RWLey
64,法外狂徒,9,2,4,66,40(4.4),13(1.4),57(6.3),78.0,JDGKanavi
65,风暴之怒,8,2,0,37,5(0.6),19(2.4),70(8.8),66.0,WEMissing
66,皮城女警,8,2,1,62,31(3.9),10(1.2),31(3.9),50.0,JDGLokeN
67,逆羽,7,2,0,28,18(2.6),18(2.6),33(4.7),56.0,RWZWuJi
68,无双剑姬,7,1,2,85,38(5.4),16(2.3),26(3.7),45.5,FPXKhan
69,武器大师,6,1,1,66,16(2.7),12(2.0),34(5.7),60.0,LNGchenlun17
70,熔岩巨兽,6,1,0,50,16(2.7),14(2.3),30(5.0),68.0,TES369
71,圣锤之毅,6,1,1,66,7(1.2),14(2.3),28(4.7),56.5,BLGADD
72,机械先驱,6,1,0,83,27(4.5),6(1.0),34(5.7),72.5,FPXDoinb
73,离群之刺,5,1,10,0,9(1.8),15(3.0),6(1.2),34.0,LGDYuuki
74,铸星龙王,5,1,1,60,14(2.8),7(1.4),41(8.2),74.5,WETeacherma
75,暴怒骑士,5,1,1,80,18(3.6),9(1.8),33(6.6),63.0,OMGicon
76,生化魔人,4,1,0,75,7(1.8),12(3.0),40(10.0),41.0,BLGMeteor
77,血港鬼影,4,1,0,25,17(4.2),16(4.0),22(5.5),67.0,RWLey
78,卡牌大师,3,0,0,100,6(2.0),3(1.0),31(10.3),73.5,SNAngel
79,时光守护者,3,0,0,66,6(2.0),3(1.0),13(4.3),48.0,OMGicon
80,永恒梦魇,3,0,0,33,5(1.7),10(3.3),16(5.3),52.0,WETeacherma
81,暗夜猎手,3,0,0,66,15(5.0),8(2.7),9(3.0),79.0,BLGFoFo
82,正义天使,2,0,0,50,1(0.5),1(0.5),7(3.5),22.0,
83,寒冰射手,2,0,0,50,3(1.5),3(1.5),12(6.0),64.0,WEJiumeng
84,德玛西亚之翼,2,0,1,50,4(2.0),7(3.5),9(4.5),46.0,IGTheShy
85,德邦总管,1,0,0,0,2(2.0),3(3.0),4(4.0),66.0,LNGXx
86,战争女神,1,0,0,0,3(3.0),4(4.0),1(1.0),44.0,OMGSmlz
87,麦林炮手,1,0,0,100,4(4.0),3(3.0),8(8.0),60.0,VGiBoy
88,雪原双子,1,0,0,0,0(0.0),4(4.0),2(2.0),50.0,EDGJunJia
89,死亡颂唱者,1,0,0,100,3(3.0),3(3.0),11(11.0),87.0,ESWei
90,刀锋之影,1,0,0,0,5(5.0),2(2.0),5(5.0),62.0,SNAngel
91,深渊巨口,1,0,0,0,0(0.0),4(4.0),1(1.0),25.0,VGiBoy
92,不灭狂雷,1,0,0,100,3(3.0),2(2.0),9(9.0),80.0,RWLey
93,爆破鬼才,1,0,0,100,4(4.0),1(1.0),7(7.0),78.0,TESknight
94,仙灵女巫,1,0,0,0,0(0.0),2(2.0),4(4.0),100.0,VGMaestro
95,荣耀行刑官,1,0,0,0,4(4.0),5(5.0),2(2.0),66.0,SNhuanfeng
96,战争之影,1,0,0,0,0(0.0),4(4.0),3(3.0),75.0,LGDLies
97,迷失之牙,1,0,0,0,0(0.0),2(2.0),4(4.0),50.0,LGDLies
98,疾风剑豪,1,0,0,100,5(5.0),2(2.0),10(10.0),65.0,WEPlex
99,戏命师,1,0,0,100,6(6.0),1(1.0),8(8.0),73.0,SNhuanfeng
